ID,marital_status,Nacionality,Application_mode,Course,Previous_qualification,Mother_qualification,Father_qualification
1044,1,1,1,11,1,13,14
1045,1,1,4,17,15,1,14
1046,1,1,1,15,1,3,28
1047,1,1,1,12,1,2,1
1048,1,1,1,12,1,1,14
1049,1,1,1,12,1,23,28
1050,1,1,1,2,1,1,28
1051,1,1,8,12,1,13,27
1052,1,1,8,12,1,3,3
1053,1,1,15,6,14,3,3
1054,1,1,1,12,1,22,27
1055,1,1,1,12,1,13,14
1056,1,1,1,12,1,1,27
1057,1,1,1,12,1,1,28
1058,1,1,12,14,9,1,14
1059,1,1,1,12,1,13,14
1060,1,1,17,10,16,1,14
1061,1,1,1,5,1,13,14
1062,1,1,12,3,1,22,9
1063,1,1,1,12,1,13,1
1065,1,1,4,3,15,13,1
1066,1,1,1,12,1,23,27
1067,1,1,1,9,1,22,28
1068,1,1,14,12,1,1,14
1069,1,1,1,14,1,13,14
1070,1,1,1,12,1,1,1
1071,1,1,15,10,14,13,14
1073,1,1,1,6,1,3,3
1074,1,1,1,10,1,22,27
1075,1,1,1,15,1,13,14
1076,1,1,2,16,1,13,28
1077,1,1,8,11,1,22,27
1078,1,1,14,2,1,3,1
1079,1,1,1,12,1,1,27
1080,1,1,1,5,1,1,14
1081,1,1,1,11,1,13,14
1083,1,1,1,16,1,1,14
1084,1,1,1,5,1,13,1
1085,1,1,8,8,1,3,1
1086,1,1,8,14,1,10,28
1087,1,1,1,15,1,23,14
1090,1,1,8,8,1,1,1
1091,1,1,8,15,1,13,14
1092,1,1,8,10,1,22,28
1093,1,1,9,15,1,13,14
1094,1,1,8,12,1,13,1
1095,1,1,1,16,1,22,27
1096,1,1,8,14,3,10,3
1097,1,1,1,11,1,22,28
1098,1,1,1,15,1,1,4
1099,1,1,1,12,1,13,27
1100,1,1,1,6,6,13,14
1101,1,1,8,8,1,13,14
1104,1,1,1,10,1,13,14
1105,1,1,1,2,1,22,28
1106,1,1,1,12,1,19,24
1107,1,1,1,12,1,23,14
1108,1,1,16,17,16,13,27
1109,1,1,8,6,1,13,26
1110,1,1,15,4,14,23,28
1111,1,1,1,12,1,1,14
1114,1,1,1,12,1,13,14
1115,1,1,9,12,1,23,27
1116,1,1,1,5,1,3,28
1117,1,1,1,12,1,23,14
1119,1,1,8,12,1,13,28
1121,1,1,1,14,1,1,1
1122,1,1,13,12,1,1,14
1123,1,1,15,4,14,22,28
1124,1,1,1,15,1,23,27
1125,1,1,1,14,1,22,28
1126,1,1,12,12,3,3,27
1127,1,1,1,10,1,22,28
1128,1,1,1,9,1,22,27
1129,5,1,8,12,1,22,28
1130,1,1,1,12,1,13,27
1131,1,1,13,12,1,1,2
1133,1,1,1,12,1,13,1
1134,1,1,8,11,1,22,27
1135,1,1,15,2,14,22,27
1136,1,1,1,5,1,22,28
1137,1,1,1,11,1,1,28
1138,1,1,8,12,1,23,27
1139,1,1,1,6,1,13,14
1140,1,1,1,12,1,23,14
1142,1,1,1,14,1,1,1
1143,1,1,1,16,1,13,14
1145,1,1,1,3,1,13,9
1147,1,1,16,17,1,13,28
1149,1,1,1,12,1,13,14
1150,1,1,1,5,1,10,14
1151,1,1,8,2,1,22,27
1154,1,1,1,12,1,1,27
1156,1,1,8,11,1,23,27
1157,1,1,7,11,1,23,27
1158,1,14,1,15,1,1,27
1159,1,1,1,9,1,13,14
1160,1,1,12,17,12,22,27
1162,1,1,8,12,1,23,1
1163,4,1,12,3,1,22,27
1164,1,1,12,12,1,22,27
1165,1,1,12,3,15,13,27
1166,2,1,12,9,3,3,27
1167,1,1,14,15,1,13,14
1168,1,1,8,15,1,3,1
1169,1,1,1,14,1,13,27
1170,1,1,1,9,1,23,14
1171,1,1,8,12,1,1,14
1172,1,1,13,7,1,19,24
1174,1,1,9,14,1,1,27
1175,1,1,8,11,1,13,1
1176,1,1,7,10,1,22,27
1177,1,17,1,5,1,2,1
1178,4,1,12,12,1,22,27
1179,1,1,9,13,1,23,27
1180,6,1,12,12,1,22,27
1181,1,1,7,6,1,1,1
1182,1,1,1,12,1,13,14
1183,1,1,17,6,16,13,28
1185,1,1,1,10,1,13,14
1187,1,1,8,9,1,22,27
1188,1,1,8,11,1,13,1
1189,1,1,1,14,1,1,14
1190,1,1,4,8,3,19,24
1191,1,1,1,12,1,1,1
1192,1,1,1,2,1,13,14
1193,1,1,4,11,15,1,1
1194,2,1,12,4,1,23,27
1196,1,1,4,5,3,22,2
1197,1,1,13,16,1,1,27
1198,1,1,1,10,1,1,14
1199,1,1,4,6,15,1,14
1200,1,1,1,8,1,1,14
1201,2,1,12,3,12,22,27
1202,2,1,12,9,1,13,27
1203,1,1,1,10,1,1,28
1204,1,1,12,10,1,19,24
1205,1,1,4,9,3,23,28
1206,1,1,14,12,1,22,24
1208,1,1,4,3,3,22,28
1209,2,1,12,4,1,22,27
1210,1,1,14,13,1,22,27
1212,4,1,12,12,12,23,1
1213,1,1,1,14,1,22,27
1215,1,1,1,12,1,3,28
1216,1,1,8,10,1,13,14
1217,1,1,15,3,14,13,27
1218,1,1,1,12,1,1,1
1219,1,1,9,9,1,13,28
1220,1,1,1,2,1,24,1
1221,1,1,1,12,1,13,1
1222,2,1,12,17,12,13,29
1223,2,1,12,3,12,1,14
1224,1,1,1,12,1,13,28
1225,1,1,8,10,1,23,28
1226,1,1,1,9,1,7,14
1227,1,1,8,10,1,23,28
1228,1,1,1,12,1,23,28
1230,1,1,1,10,1,13,28
1231,1,1,1,10,1,1,14
1232,1,1,4,12,3,13,28
1233,1,1,8,15,1,3,1
1234,1,1,8,12,1,1,27
1235,1,1,12,17,1,13,28
1236,1,1,1,12,1,1,27
1237,1,1,9,7,1,1,27
1238,1,1,15,4,14,23,27
1239,1,1,1,14,1,3,1
1240,1,1,14,17,1,22,27
1241,2,1,12,8,1,13,14
1243,1,1,13,6,14,13,3
1244,2,1,14,17,1,22,27
1245,2,1,12,16,1,22,27
1246,1,1,1,10,1,13,14
1247,1,1,1,10,1,13,14
1249,1,1,1,16,1,23,27
1250,1,1,1,11,1,13,29
1251,1,1,14,15,1,23,27
1252,1,1,8,14,1,23,28
1253,1,1,1,10,1,23,28
1255,4,1,12,8,1,3,1
1256,1,1,8,10,1,13,28
1257,1,1,1,13,1,23,27
1258,1,1,1,12,1,1,27
1259,1,1,1,6,1,13,28
1260,1,1,1,10,1,1,1
1261,1,1,13,7,1,13,27
1262,1,1,1,15,1,13,14
1263,2,1,12,16,1,22,14
1264,1,1,9,12,1,23,27
1265,1,1,1,12,1,1,1
1266,1,1,1,14,1,23,28
1267,1,1,8,12,1,13,27
1269,1,1,12,14,1,22,27
1271,1,1,14,9,1,13,28
1272,2,1,1,9,1,23,27
1273,2,1,16,16,1,22,27
1274,1,1,4,17,15,22,27
1275,1,1,8,11,1,13,14
1276,1,1,8,14,1,1,14
1277,2,1,12,9,1,22,27
1279,1,1,8,10,1,13,27
1280,1,4,1,15,1,13,14
1281,1,1,1,12,1,23,14
1282,1,1,8,11,1,1,14
1283,1,1,1,7,1,13,14
1284,1,1,1,14,1,13,27
1285,1,1,8,16,1,13,28
1287,1,1,1,10,1,13,1
1288,1,1,1,15,1,21,27
1289,1,1,1,12,1,13,14
1291,1,1,1,12,1,23,28
1292,1,1,15,4,14,1,14
1293,1,4,8,7,1,4,10
1294,2,1,12,4,1,1,31
1295,2,1,12,3,12,1,1
1296,1,1,12,14,1,19,24
1297,1,1,12,12,1,22,27
1298,1,1,1,17,1,2,27
1300,1,1,8,9,1,1,14
1301,1,1,1,11,1,3,14
1302,1,1,15,2,14,3,3
1303,1,1,16,14,1,3,3
1304,1,1,1,15,1,1,14
1305,1,1,1,15,1,13,14
1306,1,1,17,4,16,1,28
1307,1,1,8,9,1,13,28
1308,1,1,9,12,1,22,28
1309,1,1,1,12,1,23,28
1310,1,1,17,9,16,1,14
1311,1,1,1,6,1,22,27
1312,1,1,1,15,1,23,27
1313,1,1,1,12,1,3,29
1315,1,1,8,12,1,13,27
1317,1,1,1,15,1,19,28
1318,1,1,14,11,1,1,14
1319,1,1,8,16,1,1,28
1320,1,1,1,10,3,1,28
1322,1,1,1,12,1,23,28
1323,1,1,8,13,1,23,28
1325,1,1,1,12,1,22,27
1327,1,1,8,11,1,19,28
1328,1,1,1,12,1,1,1
1330,1,1,8,13,1,13,28
1331,1,1,1,12,1,1,1
1332,1,1,1,8,1,3,1
1334,1,1,1,12,1,23,28
1338,1,1,14,8,1,1,14
1339,1,1,9,12,1,22,28
1340,1,1,15,10,1,22,27
1341,1,1,1,15,1,13,14
1342,1,1,8,6,1,13,28
1343,1,1,1,16,1,22,27
1344,1,1,8,5,1,1,1
1345,1,1,1,6,1,1,3
1346,1,1,8,15,1,1,1
1349,1,1,12,6,12,13,14
1350,1,1,1,2,1,1,1
1351,1,1,1,12,1,13,14
1352,1,1,1,5,1,1,14
1353,1,1,8,16,1,23,14
1356,1,1,12,15,1,19,27
1357,1,1,12,11,12,13,1
1358,1,1,8,2,1,1,1
1359,1,1,13,7,1,13,27
1360,1,1,1,7,1,3,1
1361,1,1,1,12,1,22,28
1362,1,1,12,5,1,23,28
1363,1,1,15,2,14,13,1
1364,1,1,1,12,1,13,27
1365,1,1,12,14,7,6,16
1366,1,1,16,7,1,1,14
1367,1,1,1,12,1,23,28
1368,1,1,1,9,1,13,14
1369,1,1,17,14,16,1,14
1370,1,1,12,3,13,23,27
1371,1,1,1,12,1,1,1
1372,1,1,1,10,1,1,14
1373,1,1,1,15,1,1,28
1374,1,1,4,13,3,1,27
1375,1,1,1,2,1,23,1
1377,1,1,1,2,1,22,14
1378,1,1,1,5,1,13,27
1379,1,1,16,10,1,1,1
1380,1,1,9,13,1,3,14
1381,1,1,12,12,1,23,14
1382,1,1,4,4,3,1,14
1383,1,1,1,12,1,13,28
1384,1,1,12,5,1,1,1
1385,1,1,1,8,1,13,27
1386,1,1,14,8,1,2,3
1387,1,1,1,9,1,22,27
1388,1,1,8,7,1,22,11
1390,1,1,1,12,1,1,1
1391,1,1,1,11,1,3,14
1392,1,1,1,2,1,13,14
1393,1,1,8,10,1,1,14
1394,1,1,8,15,1,23,28
1395,1,1,8,11,1,10,1
1397,1,1,15,5,14,10,27
1398,2,1,12,13,12,22,28
1399,1,1,8,16,1,13,14
1401,1,1,1,11,1,23,28
1402,1,1,1,6,1,10,1
1403,1,1,8,12,1,23,1
1404,1,9,15,9,14,2,27
1405,1,14,6,7,1,1,3
1406,1,1,9,12,1,23,27
1408,1,1,8,11,1,9,24
1409,1,1,6,9,1,23,1
1410,1,1,12,3,12,22,27
1411,1,1,7,10,1,13,27
1412,1,9,14,14,1,22,27
1414,1,1,9,12,1,13,1
1415,1,1,1,6,1,13,14
1416,1,1,8,6,1,13,14
1417,1,1,8,14,1,3,14
1418,1,1,8,9,1,13,14
1419,1,1,12,8,1,23,28
1420,1,1,8,16,1,22,27
1422,1,1,8,10,1,13,28
1423,1,1,1,11,1,23,28
1425,1,1,1,2,1,13,14
1426,1,1,15,6,1,4,4
1429,1,1,8,15,1,13,28
1430,1,1,1,12,1,23,28
1431,1,1,1,16,1,1,10
1433,1,1,7,5,1,1,28
1435,1,14,6,9,1,26,1
1437,2,1,12,3,1,22,27
1438,1,1,9,14,1,1,1
1439,1,1,1,6,1,23,27
1440,1,1,1,14,1,13,14
1441,1,1,1,2,1,1,1
1442,1,1,8,11,1,1,1
1443,1,1,8,4,1,1,4
1444,1,1,14,17,1,1,1
1445,1,1,1,11,1,4,14
1446,1,1,1,2,1,3,20
1447,1,1,8,7,1,1,14
1448,1,1,15,4,14,22,27
1449,1,1,15,5,14,1,14
1450,1,1,8,8,1,2,1
1451,1,1,1,4,1,13,27
1452,1,1,1,2,1,1,1
1453,1,1,9,10,1,13,27
1455,1,1,1,9,1,1,27
1459,1,1,9,9,1,22,27
1460,1,1,12,14,1,23,27
1461,1,1,15,4,14,23,28
1463,1,1,16,7,1,1,14
1465,1,1,14,3,1,19,24
1466,1,1,8,7,1,8,10
1468,1,1,1,15,1,1,14
1469,1,1,1,11,1,1,1
1472,1,1,8,15,1,13,28
1473,1,1,8,15,1,22,27
1475,1,1,8,8,1,13,28
1476,1,1,12,17,1,22,27
1477,1,1,16,2,1,2,1
1478,2,1,12,4,1,1,14
1479,1,1,1,6,1,1,1
1480,1,1,17,6,16,1,1
1481,4,1,12,15,12,22,27
1482,1,1,1,14,1,3,1
1483,1,1,8,11,1,1,1
1484,1,1,12,12,12,22,27
1485,1,1,9,10,1,13,1
1486,1,1,17,6,16,1,3
1488,1,1,14,3,1,13,27
1489,1,1,8,7,1,13,14
1490,2,1,12,4,1,22,27
1491,1,1,1,15,1,1,3
1492,1,1,15,8,14,3,4
1493,1,1,12,14,12,13,1
1494,1,1,12,12,12,1,3
1495,1,1,4,7,15,3,1
1496,1,1,14,13,1,1,27
1497,1,1,8,14,1,1,1
1499,1,1,15,4,14,1,28
1500,1,1,1,5,1,23,27
1501,1,1,1,14,1,1,1
1502,2,1,12,17,1,22,14
1505,1,1,8,15,1,23,28
1507,1,1,1,2,1,13,27
1508,1,1,14,5,1,13,27
1509,1,16,14,12,1,1,1
1510,1,1,8,11,1,1,1
1512,1,1,8,2,1,13,27
1513,1,10,5,11,1,3,1
1514,1,1,8,12,1,13,27
1515,1,1,1,2,1,13,27
1516,1,1,4,12,5,13,1
1517,1,1,8,2,1,13,1
1519,1,1,12,9,9,1,1
1520,1,1,12,17,1,13,14
1521,2,1,12,17,1,22,27
1522,1,1,8,6,1,13,1
1523,1,1,1,14,1,13,1
1525,1,1,1,12,1,1,1
1526,1,1,8,15,1,1,1
1527,1,1,12,7,1,22,27
1528,1,12,6,11,1,13,1
1529,1,10,5,12,1,3,3
1531,1,1,8,12,1,23,1
1532,2,14,6,15,1,22,27
1534,1,1,1,6,1,1,28
1536,1,1,12,12,1,22,14
1537,1,1,1,10,1,23,14
1538,1,1,9,16,1,23,14
1539,2,1,12,7,3,22,27
1540,1,1,8,9,1,23,27
1541,2,1,12,16,9,22,27
1542,4,1,8,3,1,13,14
1543,1,3,4,8,2,27,1
1544,1,1,12,3,1,19,24
1545,1,1,8,5,1,1,27
1547,2,1,12,17,7,19,24
1548,2,1,4,11,2,22,27
1549,5,1,12,12,1,23,28
1550,2,1,14,3,1,19,24
1551,1,1,14,9,1,22,27
1552,1,1,4,9,15,22,27
1553,1,1,1,6,1,1,28
1554,1,1,12,3,1,22,27
1555,1,1,1,12,1,1,14
1556,1,1,1,7,1,22,14
1558,1,1,7,2,1,22,27
1559,1,1,1,12,1,3,14
1562,1,1,1,9,1,1,1
1565,1,1,8,10,1,1,14
1566,1,1,8,12,1,13,28
1567,1,1,1,9,1,1,14
1569,1,3,14,8,1,22,27
1571,1,1,12,4,12,22,27
1572,6,1,12,17,9,22,27
1573,5,1,12,4,1,22,27
1574,5,1,4,17,2,22,27
1575,1,1,1,2,1,13,14
1576,2,1,12,14,12,22,27
1578,1,1,1,6,1,22,14
1580,1,1,1,15,1,22,27
1582,1,1,14,17,1,13,27
1583,1,1,8,16,1,22,28
1584,1,1,1,15,1,22,14
1585,1,1,1,2,1,17,28
1588,1,1,8,11,1,22,27
1589,1,1,8,3,1,1,14
1590,1,1,15,4,14,1,14
1591,1,1,8,2,1,3,1
1593,1,1,1,2,1,23,27
1597,1,1,1,15,1,13,1
1598,1,1,8,10,1,22,27
1599,1,1,8,15,1,23,28
1600,1,1,1,2,1,1,1
1603,1,1,15,4,14,13,28
1604,1,1,12,4,12,1,14
1606,1,1,1,11,1,3,14
1607,1,1,1,12,1,4,3
1609,1,1,1,5,1,23,14
1610,1,1,1,9,1,1,28
1612,1,1,8,12,1,13,14
1613,1,1,12,3,11,19,24
1614,2,1,12,3,1,23,27
1615,2,1,12,6,12,13,14
1616,1,1,1,6,1,22,28
1617,1,1,12,3,1,22,1
1618,1,21,1,15,1,13,1
1619,1,1,13,14,1,1,1
1620,1,1,9,14,1,13,3
1621,1,1,1,6,1,23,27
1622,2,1,12,13,1,22,27
1623,2,1,12,13,1,22,27
1624,1,1,13,16,1,1,14
1625,1,1,12,17,1,22,27
1626,1,1,1,6,1,22,2
1627,1,1,15,17,14,22,27
1628,1,1,1,14,1,13,3
1629,1,1,12,7,1,22,28
1630,2,1,12,8,12,22,28
1631,2,1,12,15,12,13,14
1632,2,1,12,17,9,22,27
1634,2,1,12,17,1,22,27
1635,1,1,8,14,1,23,27
1636,2,1,12,8,1,1,14
1637,1,1,1,12,1,1,1
1638,1,1,12,14,7,22,27
1639,1,1,1,5,1,3,1
1640,1,1,1,12,1,1,27
1641,1,1,1,5,1,23,28
1642,1,1,8,12,1,1,1
1643,1,1,8,3,1,22,14
1644,1,1,8,11,1,3,3
1645,1,1,1,2,1,3,14
1646,1,1,1,2,1,1,14
1647,1,1,14,12,1,1,28
1648,1,1,1,12,1,13,27
1649,1,1,1,12,1,1,28
1651,1,1,1,12,1,1,1
1653,1,1,1,13,1,13,14
1654,1,1,1,16,1,1,1
1655,1,1,1,6,1,23,1
1656,1,1,1,9,1,3,14
1658,1,1,14,2,1,22,27
1660,1,1,17,6,16,1,14
1661,1,1,1,6,1,3,3
1662,1,1,1,12,1,13,1
1663,1,1,8,12,1,1,27
1664,1,1,1,6,1,22,27
1666,1,1,8,10,1,1,1
1667,1,1,1,12,1,3,14
1668,1,1,15,5,14,1,28
1669,1,1,8,3,1,22,27
1671,1,1,1,6,1,13,3
1672,1,1,15,8,14,3,1
1673,1,1,12,12,15,1,1
1674,1,1,8,12,1,1,1
1675,1,1,8,11,1,1,1
1676,1,1,8,13,1,3,3
1677,5,1,12,17,1,1,1
1678,1,1,8,6,1,22,26
1679,1,1,12,12,1,1,27
1682,1,1,1,14,1,13,1
1683,1,1,1,14,1,2,2
1684,1,1,8,5,1,22,27
1685,1,1,1,5,1,3,3
1686,1,1,8,6,1,23,1
1687,1,1,4,13,3,3,3
1689,1,1,14,2,1,22,27
1690,1,1,4,7,1,19,24
1691,1,1,9,5,1,1,27
1692,1,1,1,12,1,22,28
1694,1,1,12,7,3,3,3
1695,1,1,8,14,1,23,27
1696,1,1,8,5,1,13,28
1697,1,1,12,6,1,19,1
1698,1,1,1,12,1,1,1
1699,1,1,4,12,3,22,27
1700,1,1,1,12,1,23,27
1701,1,1,1,15,1,1,1
1702,1,1,8,15,1,19,24
1703,1,1,1,10,1,23,28
1704,1,1,12,14,1,1,14
1706,1,1,1,2,1,1,1
1708,1,1,12,13,12,13,1
1709,1,1,1,12,1,22,28
1711,1,1,1,12,1,13,14
1712,1,14,13,12,1,3,1
1714,1,1,8,10,1,13,27
1715,1,1,8,12,1,1,14
1716,1,1,1,12,1,23,28
1718,1,1,12,7,1,23,27
1719,1,1,12,17,12,2,1
1720,1,1,8,6,1,23,27
1721,1,1,1,11,1,22,27
1722,1,1,16,6,1,3,3
1723,1,1,1,15,1,2,1
1724,1,1,1,2,1,13,14
1725,2,1,12,17,1,22,27
1726,1,1,14,10,1,19,24
1728,1,1,8,11,1,23,27
1729,2,1,14,17,1,22,27
1730,1,1,1,9,1,3,3
1731,1,1,1,8,1,13,14
1732,2,1,12,7,1,22,28
1734,1,1,1,9,1,1,1
1735,1,1,15,5,14,2,14
1736,1,1,1,12,1,3,1
1738,1,1,12,4,1,3,1
1739,2,1,12,5,12,22,27
1740,1,1,9,8,1,3,3
1742,1,1,1,8,1,3,14
1743,1,1,14,15,1,1,1
1744,1,1,12,14,1,22,27
1745,1,1,15,6,14,1,1
1746,1,1,14,8,1,13,1
1747,1,1,12,4,1,13,1
1748,1,1,12,4,1,1,1
1749,1,1,14,5,1,23,28
1751,1,1,1,2,1,23,14
1754,1,1,8,7,1,3,1
1757,1,1,15,8,14,1,27
1758,1,1,1,14,1,4,14
1759,1,1,1,12,1,1,1
1760,1,1,1,10,1,13,14
1761,1,14,8,2,1,1,1
1762,1,1,12,15,1,1,14
1763,1,12,6,9,1,22,2
1764,1,1,17,9,16,1,1
1765,1,1,1,9,1,13,28
1766,1,14,12,4,1,1,1
1768,1,1,4,12,3,3,14
1772,1,1,1,15,1,1,1
1775,1,1,1,15,1,1,3
1776,2,1,1,11,1,13,28
1777,2,1,12,17,1,22,10
1778,1,1,1,9,1,22,28
1779,1,1,1,12,1,22,14
1781,1,1,1,5,1,1,14
1782,1,1,12,12,1,22,27
1784,1,1,4,12,3,22,28
1786,2,1,12,10,12,22,27
1787,1,1,4,17,3,22,27
1788,1,1,1,5,1,3,3
1789,1,1,8,11,1,13,1
1790,2,1,12,12,1,22,27
1791,1,1,1,9,1,3,1
1792,1,1,12,17,1,3,5
1793,1,1,8,6,1,1,1
1795,1,1,1,12,1,23,28
1796,1,1,1,10,1,23,27
1797,1,1,1,6,1,23,1
1798,1,1,12,4,12,22,28
1799,1,12,8,11,1,23,3
1800,1,1,1,12,1,3,1
1801,1,1,14,3,3,19,24
1802,1,1,1,9,1,1,1
1803,1,1,14,14,1,13,1
1804,1,1,16,9,12,13,14
1805,1,1,14,17,3,3,1
1807,1,1,8,14,1,3,3
1809,1,1,16,17,1,1,1
1810,1,1,12,11,1,22,27
1811,1,1,1,12,1,1,14
1812,2,1,16,12,1,22,27
1813,1,1,1,9,1,22,28
1814,1,1,9,5,1,1,27
1816,4,1,14,17,1,22,27
1817,1,1,14,5,1,22,27
1818,1,1,8,15,1,2,27
1819,1,1,8,12,1,3,2
1823,1,1,12,14,1,1,1
1824,1,1,1,10,1,3,3
1825,1,1,8,11,1,13,27
1826,1,1,1,10,1,23,1
1828,1,1,4,12,3,22,27
1830,1,1,1,16,1,22,14
1831,1,1,1,10,1,1,1
1832,1,1,8,9,1,22,14
1833,1,1,1,9,1,13,14
1834,1,1,8,12,1,13,28
1835,1,1,1,10,1,23,28
1836,2,1,14,3,1,22,14
1838,1,1,8,12,1,3,14
1839,1,1,12,5,1,1,14
1840,1,9,5,15,1,23,27
1841,1,1,8,8,1,13,14
1842,1,1,1,9,1,1,28
1844,1,1,1,12,1,1,1
1845,1,1,1,8,1,3,14
1846,1,1,8,4,1,22,3
1847,2,1,12,17,1,21,12
1848,1,1,1,12,1,5,5
1850,1,1,4,12,3,1,1
1851,1,1,1,7,1,13,28
1852,1,1,1,9,1,3,14
1853,1,1,15,4,14,3,3
1854,1,1,12,6,1,22,27
1855,4,1,12,14,12,13,1
1856,1,1,1,5,1,3,3
1857,1,12,6,10,1,13,1
1858,1,1,8,5,1,1,4
1860,2,1,12,7,1,13,14
1862,1,1,1,11,1,1,1
1863,1,1,8,5,1,22,28
1864,1,1,1,8,1,7,14
1865,1,1,12,17,1,1,1
1866,1,1,12,9,1,13,14
1867,1,1,12,17,1,22,27
1868,1,1,1,2,1,22,14
1869,1,1,1,15,1,13,9
1870,1,1,8,14,1,19,3
1871,1,1,1,12,1,1,1
1872,1,1,16,12,1,1,1
1873,1,1,12,3,1,19,24
1874,1,1,1,15,1,13,14
1875,1,1,1,12,1,22,27
1876,1,1,12,13,12,27,1
1877,1,1,1,12,1,22,14
1878,1,1,1,2,1,2,14
1879,1,1,8,12,1,13,3
1881,1,1,12,4,1,22,27
1882,1,1,8,11,1,13,28
1883,1,1,1,2,1,1,14
1885,1,1,1,12,1,13,2
1886,1,1,15,4,14,22,27
1887,2,1,14,15,1,22,27
1888,1,9,5,6,1,2,14
1889,1,1,1,2,1,1,1
1890,1,1,1,2,1,25,33
1891,1,1,1,12,1,23,27
1892,1,1,1,8,1,2,16
1894,1,1,9,2,1,1,1
1897,1,1,1,15,1,3,3
1898,1,1,1,2,1,10,10
1899,1,1,17,6,16,3,1
1900,1,1,14,15,1,1,27
1901,1,1,13,6,1,1,7
1902,1,1,1,8,1,1,1
1903,1,1,8,12,1,13,1
1904,1,1,1,15,1,13,1
1905,1,1,15,10,14,1,27
1906,1,1,1,12,1,4,10
1907,1,1,1,12,1,13,1
1909,1,1,1,12,1,3,3
1910,1,1,1,14,1,3,14
1911,1,1,1,12,1,22,27
1912,1,1,1,13,1,23,1
1913,2,1,8,3,1,13,27
1914,1,1,1,16,1,10,10
1915,1,1,1,12,1,1,27
1916,1,1,8,12,1,13,28
1917,1,1,1,12,1,13,28
1918,1,1,1,5,1,13,27
1921,1,1,1,10,1,22,28
1923,1,1,8,9,1,22,28
1924,1,1,8,14,1,1,28
1925,1,1,8,10,1,1,1
1926,1,1,1,6,1,23,14
1927,1,1,8,15,1,13,14
1929,1,1,8,12,1,1,1
1930,1,1,1,12,1,13,1
1931,1,1,8,14,1,23,28
1932,1,1,8,10,1,13,14
1933,1,1,12,12,12,13,27
1934,1,1,1,12,1,13,28
1935,1,1,8,12,1,1,28
1936,1,1,8,8,1,4,1
1937,2,1,1,12,1,13,28
1938,1,1,12,6,1,13,14
1939,1,1,1,15,1,3,3
1940,1,1,1,11,1,1,1
1941,1,1,1,10,1,23,28
1942,2,1,1,5,1,10,14
1943,1,1,1,5,1,4,14
1944,1,1,1,15,1,1,14
1945,1,1,1,12,1,22,27
1946,1,1,1,12,1,13,28
1947,1,1,8,6,1,1,14
1948,1,1,1,15,1,23,28
1949,1,1,9,12,1,23,27
1950,1,1,1,11,1,23,28
1951,1,1,14,11,1,13,14
1952,1,1,1,2,1,13,27
1953,1,1,1,11,1,1,28
1955,1,1,9,16,1,13,28
1957,1,1,4,12,3,22,27
1958,1,1,1,10,1,10,28
1960,1,1,1,10,1,1,1
1962,1,1,1,14,1,1,1
1963,1,1,1,12,1,1,1
1964,1,1,8,6,1,1,3
1965,1,1,4,4,4,3,1
1966,1,1,1,6,1,1,14
1969,1,1,1,14,1,1,2
1971,1,1,8,6,1,2,14
1972,1,1,8,14,1,13,14
1973,1,1,8,9,1,13,14
1974,1,1,1,12,1,1,10
1975,1,1,16,5,1,1,1
1977,1,1,15,10,14,1,14
1979,1,1,1,14,1,10,1
1980,1,1,1,9,1,13,14
1981,1,1,8,10,1,13,14
1982,1,1,14,6,14,23,27
1983,1,1,1,12,1,23,14
1984,1,1,1,12,1,13,1
1985,1,1,8,11,1,22,27
1986,2,1,13,12,2,22,27
1988,1,1,1,12,1,13,27
1990,1,1,8,3,1,22,14
1991,1,1,14,2,2,22,27
1993,1,1,1,9,1,22,28
1994,1,1,1,11,1,13,7
1995,1,1,1,10,1,18,14
1996,1,1,8,6,1,3,27
1997,1,1,8,15,1,22,27
1998,1,1,12,3,1,22,28
1999,1,1,16,9,1,13,14
2000,1,1,12,11,1,1,1
2001,1,1,1,10,1,23,27
2002,1,1,16,11,1,23,28
2003,1,1,8,16,1,13,28
2004,1,1,4,16,3,19,24
2005,1,1,1,6,1,1,27
2006,2,1,12,3,1,22,27
2007,1,1,7,6,1,22,27
2008,1,1,1,2,1,22,27
2009,1,1,1,15,1,1,1
2010,1,1,9,16,1,22,27
2011,2,1,12,17,1,22,27
2012,5,1,12,16,12,23,1
2013,2,1,12,16,1,22,27
2014,2,1,12,4,1,13,14
2015,1,1,1,10,1,13,14
2016,1,1,12,11,1,3,1
2017,1,1,1,12,1,23,1
2019,1,1,1,15,1,1,1
2020,1,1,13,4,1,13,1
2021,1,1,12,16,1,13,1
2022,1,1,8,2,1,23,28
2023,1,1,1,5,1,1,10
2025,1,1,14,12,1,4,14
2026,1,1,1,2,1,3,2
2028,1,1,1,12,1,13,27
2029,1,1,1,15,1,22,28
2030,1,1,8,12,1,13,14
2031,4,1,12,11,1,23,27
2032,1,1,12,6,1,13,27
2033,2,1,12,17,1,22,27
2034,2,1,12,15,12,22,27
2036,1,1,8,9,1,1,27
2037,2,1,4,8,3,3,3
2038,1,9,5,14,1,22,27
2039,1,1,1,10,1,23,14
2040,1,1,1,16,1,23,27
2041,2,14,18,17,1,23,27
2042,1,2,1,11,1,22,1
2043,1,1,1,11,1,1,14
2044,1,1,15,6,14,1,14
